Timestamp,TagID,x(m),y(m),theta(rad),
2020-03-10T17:00:05.119339+00:00,42,0.370071,-0.509134,0.085686,
2020-03-10T17:00:05.151022+00:00,42,0.370179,-0.508633,0.0854475,
2020-03-10T17:00:05.182577+00:00,42,0.370317,-0.508173,0.086283,
2020-03-10T17:00:05.219177+00:00,42,0.37036,-0.508187,0.0881454,
2020-03-10T17:00:05.251155+00:00,42,0.37033,-0.507114,0.0820159,
2020-03-10T17:00:05.288461+00:00,42,0.370286,-0.506041,0.0868988,
2020-03-10T17:00:05.323755+00:00,42,0.369856,-0.504134,0.0850414,
2020-03-10T17:00:05.359269+00:00,42,0.369387,-0.503268,0.0815176,
2020-03-10T17:00:05.387282+00:00,42,0.369177,-0.501471,0.0876515,
2020-03-10T17:00:05.423120+00:00,42,0.369429,-0.500691,0.089338,
2020-03-10T17:00:05.452185+00:00,42,0.369529,-0.499981,0.0910823,
2020-03-10T17:00:05.482982+00:00,42,0.369644,-0.498412,0.081522,
2020-03-10T17:00:05.519590+00:00,42,0.369276,-0.497236,0.0794802,
2020-03-10T17:00:05.550836+00:00,42,0.369276,-0.497236,0.0794802,
2020-03-10T17:00:05.615911+00:00,42,0.368831,-0.493472,0.0802566,
2020-03-10T17:00:05.658037+00:00,42,0.368992,-0.492719,0.0822627,
2020-03-10T17:00:05.687400+00:00,42,0.369127,-0.492237,0.0832708,
2020-03-10T17:00:05.718842+00:00,42,0.369238,-0.491681,0.0839293,
2020-03-10T17:00:05.750850+00:00,42,0.368802,-0.490007,0.0776298,
2020-03-10T17:00:05.783619+00:00,42,0.368762,-0.488887,0.0772296,
2020-03-10T17:00:05.815918+00:00,42,0.368096,-0.487563,0.0787719,
2020-03-10T17:00:05.850712+00:00,42,0.367954,-0.485998,0.0819828,
2020-03-10T17:00:05.883474+00:00,42,0.36804,-0.485106,0.0844568,
2020-03-10T17:00:05.915332+00:00,42,0.368379,-0.484056,0.0855998,
2020-03-10T17:00:05.950961+00:00,42,0.368487,-0.482875,0.0777433,
2020-03-10T17:00:05.982853+00:00,42,0.368342,-0.481728,0.0725361,
2020-03-10T17:00:06.015348+00:00,42,0.367909,-0.480237,0.074901,
2020-03-10T17:00:06.050998+00:00,42,0.36774,-0.479929,0.0767717,
2020-03-10T17:00:06.082542+00:00,42,0.36754,-0.478218,0.0767924,
2020-03-10T17:00:06.114878+00:00,42,0.367588,-0.477434,0.0789589,
2020-03-10T17:00:06.150697+00:00,42,0.367635,-0.477146,0.0776414,
2020-03-10T17:00:06.182574+00:00,42,0.367826,-0.475958,0.0828608,
2020-03-10T17:00:06.215048+00:00,42,0.367725,-0.474695,0.0782225,
2020-03-10T17:00:06.250854+00:00,42,0.367593,-0.473568,0.0754714,
2020-03-10T17:00:06.282827+00:00,42,0.367137,-0.471762,0.078068,
2020-03-10T17:00:06.316948+00:00,42,0.366998,-0.470492,0.0779327,
2020-03-10T17:00:06.355615+00:00,42,0.367012,-0.469768,0.0792539,
2020-03-10T17:00:06.388108+00:00,42,0.367301,-0.468521,0.0792659,
